"Y(e), created by Plot Digitizer, 2.6.8"
"Date: 1/30/20, 6:17:50 PM"


31
e,Y
80.5165,0.000533557,
84.1421,0.000521752,
88.4071,0.000504585,
91.8190,0.000489565,
95.4438,0.000472401,
99.2818,0.000453092,
102.906,0.000430567,
106.957,0.000409113,
110.581,0.000385517,
114.418,0.000362991,
118.256,0.000340466,
124.226,0.000309358,
129.343,0.000280396,
132.967,0.000260015,
138.084,0.000234270,
144.375,0.000205304,
153.438,0.000166680,
162.715,0.000134488,
174.019,0.000101752,
184.470,7.75952e-05,
194.496,5.87997e-05,
204.416,4.42926e-05,
214.763,3.24639e-05,
224.470,2.33174e-05,
233.111,1.73906e-05,
241.858,1.30715e-05,
250.712,8.75193e-06,
258.820,5.50703e-06,
268.848,3.32724e-06,
280.584,2.74932e-06,
299.680,1.07312e-06,
