"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/6/20, 5:06:40 PM"


46
X,Y
2.77640,1.39527e-06,
7.75980,4.19189e-06,
12.8855,6.98698e-06,
17.8699,1.19210e-05,
22.5707,1.97079e-05,
27.5608,3.81788e-05,
32.5551,6.66242e-05,
37.5416,7.65455e-05,
42.3820,7.79187e-05,
47.6708,0.000129160,
52.6748,0.000180404,
57.5329,0.000223100,
62.6842,0.000285743,
67.5587,0.000366912,
72.8441,0.000410316,
77.6939,0.000433776,
82.8212,0.000440133,
87.7979,0.000427256,
92.9091,0.000395852,
97.7331,0.000358752,
102.697,0.000315951,
107.663,0.000278850,
112.771,0.000239609,
117.735,0.000195383,
122.988,0.000163266,
127.674,0.000137567,
132.788,0.000111151,
137.763,9.61360e-05,
142.736,7.39963e-05,
147.713,6.18311e-05,
152.690,4.96660e-05,
157.526,3.96397e-05,
162.647,3.24603e-05,
167.769,2.52809e-05,
172.749,2.02404e-05,
177.729,1.51999e-05,
182.710,1.22968e-05,
187.691,8.68118e-06,
191.960,7.21061e-06,
197.511,4.30142e-06,
202.778,4.95760e-06,
207.474,2.77000e-06,
212.883,1.28726e-06,
217.723,5.23067e-07,
223.274,4.63737e-07,
228.683,-1.73147e-06,
