"Y(e), created by Plot Digitizer, 2.6.8"
"Date: 1/30/20, 6:22:54 PM"


33
e,Y
80.5982,0.000357216,
82.9474,0.000371680,
85.8299,0.000386141,
89.6726,0.000400063,
94.7945,0.000407549,
101.302,0.000404309,
105.248,0.000395719,
109.300,0.000382305,
113.778,0.000359778,
117.082,0.000337790,
121.665,0.000309367,
125.716,0.000284697,
130.193,0.000259489,
135.631,0.000234278,
140.428,0.000212822,
145.546,0.000190292,
150.771,0.000169370,
157.488,0.000144690,
163.140,0.000126446,
170.605,0.000102836,
180.843,7.86801e-05,
189.802,6.04245e-05,
200.148,4.37719e-05,
209.855,3.08735e-05,
220.095,2.06531e-05,
228.736,1.47263e-05,
240.364,8.78891e-06,
250.499,5.00078e-06,
261.273,1.74635e-06,
270.341,1.05978e-07,
282.824,-4.74613e-07,
291.572,-1.04186e-06,
300.106,-1.60835e-06,
