"Y(e), created by Plot Digitizer, 2.6.8"
"Date: 1/30/20, 6:21:09 PM"


30
e,Y
80.6480,0.000708825,
83.4170,0.000675048,
86.8250,0.000632692,
90.5527,0.000588192,
94.3871,0.000544227,
99.2876,0.000494363,
103.336,0.000456829,
107.705,0.000417686,
112.608,0.000384437,
117.298,0.000358693,
122.629,0.000330803,
128.278,0.000299159,
133.928,0.000268588,
139.898,0.000237479,
146.615,0.000202616,
151.413,0.000181695,
156.531,0.000161845,
165.275,0.000132335,
174.126,0.000108183,
183.192,8.77835e-05,
193.004,6.89889e-05,
204.737,5.12593e-05,
219.244,3.56638e-05,
234.072,2.32831e-05,
249.753,1.35793e-05,
261.595,9.78503e-06,
274.610,4.91462e-06,
285.598,3.80338e-06,
292.746,1.63389e-06,
299.894,2.68032e-06,
