"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/1/20, 5:48:24 PM"


56
X,Y
51.9915,5.35168e-06,
53.9829,3.10398e-05,
55.4054,5.88685e-05,
56.9701,8.52701e-05,
58.3926,0.000114526,
60.2418,0.000139501,
61.8065,0.000166616,
63.6558,0.000193017,
65.7895,0.000218705,
68.4922,0.000247248,
70.6259,0.000270795,
74.1821,0.000292915,
77.0270,0.000314322,
82.7169,0.000326453,
87.9801,0.000327166,
93.3855,0.000316463,
97.7952,0.000301478,
102.347,0.000280785,
106.330,0.000262232,
110.597,0.000240112,
114.011,0.000220846,
118.279,0.000199439,
121.550,0.000180173,
126.387,0.000163761,
130.797,0.000150204,
136.060,0.000134506,
140.754,0.000121662,
146.159,0.000106677,
150.853,9.59735e-05,
156.259,8.31295e-05,
161.095,7.38532e-05,
166.643,6.24363e-05,
171.337,5.38736e-05,
177.169,4.53109e-05,
182.575,3.81753e-05,
188.122,3.10398e-05,
193.385,2.60449e-05,
199.360,2.24771e-05,
204.623,2.10499e-05,
210.171,1.89093e-05,
215.718,1.60550e-05,
221.408,1.67686e-05,
226.956,1.17737e-05,
232.361,1.32008e-05,
238.122,1.01682e-05,
243.883,8.56269e-06,
249.431,5.35168e-06,
255.192,5.88685e-06,
260.633,4.81651e-06,
266.181,4.28135e-06,
271.835,3.21101e-06,
277.809,2.67584e-06,
283.464,2.14067e-06,
289.118,1.07034e-06,
294.666,1.60550e-06,
299.573,1.07034e-06,
