"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/2/20, 12:15:22 PM"


34
X,Y
130.361,0.000103448,
132.984,0.000108207,
135.869,0.000111724,
140.328,0.000114414,
145.049,0.000114828,
149.246,0.000112966,
154.492,0.000109655,
159.213,0.000104897,
164.984,9.93103e-05,
169.967,9.47586e-05,
176.787,8.93793e-05,
185.180,8.33793e-05,
193.836,7.69655e-05,
202.492,7.22069e-05,
210.885,6.66207e-05,
218.492,6.14483e-05,
227.934,5.56552e-05,
235.803,5.04828e-05,
244.984,4.46897e-05,
255.213,3.93103e-05,
264.918,3.45517e-05,
275.934,2.91724e-05,
284.590,2.52414e-05,
295.344,2.13103e-05,
304.525,1.80000e-05,
314.492,1.51034e-05,
325.508,1.24138e-05,
335.738,9.93103e-06,
347.016,7.86207e-06,
360.393,6.00000e-06,
371.672,4.34483e-06,
382.164,3.51724e-06,
390.033,3.10345e-06,
399.213,2.48276e-06,
