"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/2/20, 12:19:30 PM"


44
X,Y
130.536,5.32414e-05,
131.934,6.22069e-05,
133.333,6.91035e-05,
134.732,7.53103e-05,
136.131,8.15172e-05,
138.929,8.82759e-05,
142.601,9.35172e-05,
147.847,9.64138e-05,
153.967,9.69655e-05,
159.213,9.60000e-05,
164.809,9.40690e-05,
169.530,9.04828e-05,
174.251,8.60690e-05,
180.372,8.06897e-05,
186.492,7.53103e-05,
193.311,7.08966e-05,
199.432,6.66207e-05,
205.727,6.24828e-05,
210.973,5.87586e-05,
216.918,5.44828e-05,
223.388,5.04828e-05,
228.634,4.70345e-05,
234.579,4.30345e-05,
240.874,3.93103e-05,
247.169,3.57241e-05,
253.464,3.18621e-05,
262.208,2.75862e-05,
269.377,2.42759e-05,
276.721,2.11034e-05,
284.240,1.82069e-05,
292.984,1.51724e-05,
302.077,1.25517e-05,
309.945,1.04828e-05,
321.486,8.00000e-06,
330.754,6.48276e-06,
339.672,5.10345e-06,
348.590,4.00000e-06,
358.033,2.89655e-06,
367.126,2.48276e-06,
373.945,1.65517e-06,
380.590,1.10345e-06,
390.383,1.10345e-06,
395.104,9.65517e-07,
399.825,8.27586e-07,
