"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/2/20, 12:17:25 PM"


33
X,Y
130.536,0.000153655,
132.984,0.000148414,
135.956,0.000143034,
139.978,0.000138483,
143.825,0.000134897,
147.322,0.000131862,
150.820,0.000127448,
155.716,0.000119724,
160.262,0.000112138,
164.284,0.000105931,
174.601,9.60000e-05,
181.945,9.15862e-05,
196.634,8.30345e-05,
205.377,7.73793e-05,
213.421,7.22759e-05,
221.639,6.71724e-05,
230.907,6.17931e-05,
239.650,5.64138e-05,
247.519,5.15862e-05,
256.087,4.68966e-05,
265.705,4.17931e-05,
275.148,3.68276e-05,
285.639,3.21379e-05,
295.432,2.80000e-05,
305.749,2.37241e-05,
317.464,1.97241e-05,
329.530,1.60000e-05,
341.596,1.28276e-05,
357.508,9.37931e-06,
372.197,7.03448e-06,
382.164,5.79310e-06,
391.432,4.68966e-06,
399.825,3.86207e-06,
